repository,pr_number,title,body,state,draft,author_login,author_association,created_at,updated_at,closed_at,merged_at,target_branch,source_branch,html_url,labels,was_merged,merge_target,outcome_label,additions,deletions,changed_files,commit_count,raw_data_available
pallets/flask,6108,AI junk,"## Description
This PR resolves issue #6093 by replacing `partition("":"")` with `rpartition("":"")` when parsing `SERVER_NAME` in `app.py` and request host cookies in `testing.py`.

## Details
- Properly handles IPv6 addresses containing multiple colons (e.g. `[::1]:8080` or `::1`).",closed,False,amir-rezaei,NONE,2026-07-27T20:04:49Z,2026-07-27T20:16:05Z,2026-07-27T20:15:16Z,,main,fix/ipv6-host-rpartition-parsing,https://github.com/pallets/flask/pull/6108,[],False,0,Closed without merge,,,,,True
pallets/flask,6106,AI junk,"<!-- Fixes #11 -->

## Summary
Fix typo in docs

## Changes
- Formatting update in README.md

## Testing
N/A",closed,False,saitejabandaru-in,NONE,2026-07-26T14:51:53Z,2026-07-26T14:56:41Z,2026-07-26T14:52:49Z,,main,fix-docs-1785077509,https://github.com/pallets/flask/pull/6106,[],False,0,Closed without merge,,,,,True
pallets/flask,6105,modofied requirement,"<!--
Before opening a PR, open a ticket describing the issue or feature the
PR will address. An issue is not required for fixing typos in
documentation, or other simple non-code changes.

Replace this comment with a description of the change. Describe how it
addresses the linked ticket.
-->

<!--
Link to relevant issues or previous PRs, one per line. Use ""fixes"" to
automatically close an issue.

fixes #<issue number>
-->

<!--
Ensure each step in CONTRIBUTING.rst is complete, especially the following:

- Add tests that demonstrate the correct behavior of the change. Tests
  should fail without the change.
- Add or update relevant docs, in the docs folder and in code.
- Add an entry in CHANGES.rst summarizing the change and linking to the issue.
- Add `.. versionchanged::` entries in any relevant code docs.
-->",closed,False,sbisl,NONE,2026-07-25T14:43:47Z,2026-07-25T14:53:47Z,2026-07-25T14:53:47Z,,main,jenkins-test,https://github.com/pallets/flask/pull/6105,[],False,0,Closed without merge,,,,,True
pallets/flask,6104,[Draft] hello,"<!--
Before opening a PR, open a ticket describing the issue or feature the
PR will address. An issue is not required for fixing typos in
documentation, or other simple non-code changes.

Replace this comment with a description of the change. Describe how it
addresses the linked ticket.
-->

<!--
Link to relevant issues or previous PRs, one per line. Use ""fixes"" to
automatically close an issue.

fixes #<issue number>
-->

<!--
Ensure each step in CONTRIBUTING.rst is complete, especially the following:

- Add tests that demonstrate the correct behavior of the change. Tests
  should fail without the change.
- Add or update relevant docs, in the docs folder and in code.
- Add an entry in CHANGES.rst summarizing the change and linking to the issue.
- Add `.. versionchanged::` entries in any relevant code docs.
-->",closed,False,Akankshaaaa-01,NONE,2026-07-24T10:30:05Z,2026-07-24T17:21:56Z,2026-07-24T10:31:18Z,,main,patch-1,https://github.com/pallets/flask/pull/6104,[],False,0,Closed without merge,,,,,True
pallets/flask,6103,Fix grammar in quickstart documentation,"Fix a grammar issue in the quickstart documentation.

Changed ""tell the Flask"" to ""tell Flask"" because Flask is a project name.",closed,False,ARYANatGIT,NONE,2026-07-23T15:50:23Z,2026-07-23T16:06:41Z,2026-07-23T16:06:41Z,,main,fix-doc-typo,https://github.com/pallets/flask/pull/6103,[],False,0,Closed without merge,,,,,True
pallets/flask,6102,AI junk,Fixes #3168,closed,False,vtino17,NONE,2026-07-22T07:55:22Z,2026-07-22T13:22:13Z,2026-07-22T13:22:06Z,,main,fix/dev-warning,https://github.com/pallets/flask/pull/6102,[],False,0,Closed without merge,,,,,True
pallets/flask,6101,Fixed monkeypatch and werkzeug deprecation,"Added fixes introduces in the PR #6072  and fixed the deprecation error encountered in the aforementioned PR.

Fixes Issue: #6071 
Fixes PR: #6072 

Testing:

pypy3.11: OK ✔ in 32.09 seconds
docs: OK ✔ in 35.11 seconds
  py3.14: OK (21.92=setup[12.60]+cmd[9.32] seconds)
  py3.14t: OK (18.54=setup[4.81]+cmd[13.73] seconds)
  py3.13: OK (16.17=setup[2.54]+cmd[13.63] seconds)
  py3.12: OK (21.51=setup[12.76]+cmd[8.75] seconds)
  py3.11: OK (16.17=setup[2.83]+cmd[13.34] seconds)
  py3.10: OK (22.89=setup[13.22]+cmd[9.68] seconds)
  py3.9: OK (22.07=setup[1.70]+cmd[20.37] seconds)
  pypy3.11: OK (32.09=setup[12.34]+cmd[19.75] seconds)
  tests-min: OK (28.08=setup[7.55]+cmd[7.61,12.91] seconds)
  tests-dev: FAIL code 1 (28.08=setup[4.02]+cmd[10.76,13.29] seconds)

But i don't understand for the tests-dev fail, if you can run it in git action to check if it is not a local setup/dependencies problem
would be wonderful.",closed,False,darkhpk,NONE,2026-07-22T00:42:59Z,2026-07-22T02:17:37Z,2026-07-22T02:14:54Z,,stable,stable,https://github.com/pallets/flask/pull/6101,[],False,0,Closed without merge,,,,,True
pallets/flask,6100,AI junk,"In `wsgi_app`, the call to `response(environ, start_response)` sits outside the inner `try/except` that catches dispatch errors. When this call raises (for example, a streaming response body fails or the client disconnects mid-delivery), the `error` variable remains `None`. The `finally` block then calls `ctx.pop(error)` with `error=None`, so all `teardown_request` functions receive `exc=None` instead of the actual exception. This silently discards the error, making it impossible for teardown logic to make informed cleanup decisions (such as rolling back a database transaction versus committing).

The fix wraps `response(environ, start_response)` in a `try/except BaseException` that captures the error into the `error` variable before re-raising. The `finally` block then passes the correct exception to `ctx.pop(error)`. Using `BaseException` ensures that `KeyboardInterrupt`, `SystemExit`, and other non-`Exception` throwables during WSGI response delivery are also captured. The exception is always re-raised after capture — it is never swallowed or handled, preserving the existing contract that `wsgi_app` propagates unexpected errors to the WSGI server.

A regression test is added that creates a `Response` subclass whose `__call__` raises `RuntimeError`, registers a `teardown_request` handler, and asserts that the handler receives the `RuntimeError` instance. This test fails on the unpatched code (teardown receives `None`) and passes with the fix. The full Flask test suite (492 tests) passes with no regressions.",closed,False,ghost,NONE,2026-07-20T20:28:31Z,2026-07-20T22:06:42Z,2026-07-20T22:05:17Z,,main,fix/wsgi-teardown-error-propagation,https://github.com/pallets/flask/pull/6100,[],False,0,Closed without merge,,,,,True
pallets/flask,6099,AI junk,"Fixes #6071.

The test suite imports \
otset\ from \_pytest.monkeypatch\ in two places and also pokes the private \_setitem\ list directly. pytest 9.1 removed \
otset\ from that module, which causes a collection-time crash before any test can run.

Both usages only needed the sentinel to mean 'delete this env var'. \monkeypatch.delenv(key, raising=False)\ does exactly the same thing using the stable public API, so the sentinel is not needed at all.

**tests/conftest.py**
- Drop \rom _pytest import monkeypatch\.
- Replace the \
otset\ tuple with a plain tuple of key names (\_FLASK_ENV_KEYS\).
- Use \pytest.MonkeyPatch()\ directly (public class, available since pytest 6.0).
- \_reset_os_environ\ now calls \monkeypatch.delenv(key, raising=False)\ per key instead of appending to the private \_setitem\ list.

**tests/test_cli.py**
- Remove \rom _pytest.monkeypatch import notset\.
- Replace \monkeypatch._setitem.append((os.environ, item, notset))\ with \monkeypatch.delenv(item, raising=False)\ in \	est_load_dotenv\ and \	est_dotenv_path\. The old comment '# can't use monkeypatch.delitem since the keys don't exist yet' no longer applies — \delenv(raising=False)\ handles missing keys fine.",closed,False,eeshsaxena,NONE,2026-07-20T01:51:12Z,2026-07-20T02:09:15Z,2026-07-20T02:08:46Z,,main,fix/pytest-91-remove-private-notset,https://github.com/pallets/flask/pull/6099,[],False,0,Closed without merge,,,,,True
pallets/flask,6098,AI junk,"## Summary

This PR adds a new `flask create` command that generates a complete Flask project structure with customizable features.

## Features

- **SQLite/SQLAlchemy** database integration with models and CRUD operations
- **Flask-Login** authentication with admin user and login/logout
- **Admin panel** with user management dashboard
- **Bootstrap CSS** UI for responsive templates
- **REST API** endpoints with full CRUD support

## Usage

```bash
# Create full project with all features (default)
flask create --project --name my-app

# Create with specific features
flask create --project --includes sqlite,admin-user --name simple-app

# Create in specific directory
flask create --project --path ./projects --name full-app
```

## Options

- `--project` - Create a new project structure
- `--includes` - Comma-separated features: `sqlite`, `admin-user`, `admin-panel`, `bootstrap`, `api`, `all`
- `--path` - Path where project will be created (default: `.`)
- `--name` - Name of the project (default: `flask-app`)

## Generated Structure

```
project-name/
├── app/
│   ├── __init__.py
│   ├── models.py
│   ├── extensions.py
│   ├── routes.py
│   ├── auth.py
│   ├── admin.py
│   └── api.py
├── templates/
│   ├── base.html
│   ├── index.html
│   ├── login.html
│   ├── register.html
│   └── admin/
├── static/
│   └── style.css
├── config.py
├── requirements.txt
├── run.py
└── .env
```

## Testing

Verified that the generated project:
- Creates a working Flask application
- Initializes SQLite database with tables
- Creates admin user successfully
- All imports work correctly with relative imports",closed,False,Ibrahimibrahimi,NONE,2026-07-16T21:16:10Z,2026-07-16T21:21:48Z,2026-07-16T21:21:43Z,,main,main,https://github.com/pallets/flask/pull/6098,[],False,0,Closed without merge,,,,,True
