pr_number,policy_risk_score,policy_risk_band,triggered_rule_count,critical_rule_count,high_rule_count,triggered_rules,triggered_categories,recommended_actions,manual_review_required
2575,0,Low,0,0,0,,,,False
2577,0,Low,0,0,0,,,,False
2579,56,High,4,0,2,PR002 | PR005 | PR011 | PR012,Complexity | Documentation | Governance | Security,"Expand the description with implementation context, testing evidence and reviewer guidance. | Require focused security review and verify that secrets, authentication and permission impacts have been assessed. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
2582,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2588,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
2592,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2600,60,High,4,0,2,PR001 | PR003 | PR004 | PR012,Complexity | Documentation | Testing,"Add a clear description covering the purpose, scope, expected behaviour and validation performed. | Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
2603,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2609,68,High,5,0,2,PR002 | PR003 | PR004 | PR007 | PR011,Documentation | Governance | Operations | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval.",True
2614,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2619,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2622,68,High,5,0,2,PR002 | PR003 | PR007 | PR011 | PR012,Complexity | Documentation | Governance | Operations | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
2630,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2633,0,Low,0,0,0,,,,False
2637,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
