repository,pr_number,expected_outcome,period,period_start_date,period_end_date,created_at,html_url,repository_summary,title_summary,body_summary,state_summary,draft_summary,author_login_summary,author_association_summary,created_at_summary,updated_at_summary,closed_at_summary,merged_at_summary,target_branch_summary,source_branch_summary,html_url_summary,labels_summary,was_merged_summary,merge_target_summary,outcome_label_summary,additions_summary,deletions_summary,changed_files_summary,commit_count_summary,raw_data_available_summary,repository_detail,title_detail,body_detail,html_url_detail,author_login_detail,author_association_detail,state_detail,draft_detail,base_branch_detail,head_branch_detail,created_at_detail,updated_at_detail,closed_at_detail,merged_at_detail,was_merged_detail,resolution_hours_detail,merge_hours_detail,additions_detail,deletions_detail,total_changes_detail,changed_files_detail,commit_count_detail,title_length_detail,body_length_detail,body_word_count_detail,labels_detail,label_count_detail,requested_reviewers_detail,requested_reviewer_count_detail,file_records_returned_detail,test_files_changed_detail,documentation_files_changed_detail,configuration_files_changed_detail,security_sensitive_files_changed_detail,files_added_detail,files_modified_detail,files_removed_detail,files_renamed_detail,has_test_changes_detail,has_documentation_changes_detail,has_configuration_changes_detail,has_security_sensitive_changes_detail,expected_outcome_detail,period_detail,period_start_date_detail,period_end_date_detail,actual_outcome_detail,outcome_matches_selection_detail
pallets/flask,2575,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-01-03 10:46:23+00:00,https://github.com/pallets/flask/pull/2575,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,docs: add Hasura as hosted deployment option,"Hasura is Kubernetes based microservices platform with Postgres based BaaS features, including authentication, data, files and notification APIs. 

https://hasura.io/hub/project/hasura/hello-python-flask is a boilerplate which can be deployed easily to a free Hasura cluster using a simple git-push. It also integrates with Hasura data and auth APIs to provide authentication and database out-of-the-box.

<!--
Commit checklist:

* add tests that fail without the patch
* ensure all tests pass with ``pytest``
* add documentation to the relevant docstrings or pages
* add ``versionadded`` or ``versionchanged`` directives to relevant docstrings
* add a changelog entry if this patch changes code

Tests, coverage, and docs will be run automatically when you submit the pull
request, but running them yourself can save time.
-->

  ",https://github.com/pallets/flask/pull/2575,shahidhk,NONE,closed,False,master,patch-1,2018-01-03 10:46:23+00:00,2020-11-14 03:36:16+00:00,2018-01-03 15:09:12+00:00,,False,4.380277777777778,,1,0,1,1,1,44,842,119,[],0,[],0,1,0,1,0,0,0,1,0,0,False,True,False,False,Closed without merge,2018-Q1,2018-01-01,2018-03-31,Closed without merge,True
pallets/flask,2577,Merged,2018-Q1,2018-01-01,2018-03-31,2018-01-03 21:10:09+00:00,https://github.com/pallets/flask/pull/2577,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Use string concat in jsonify,"#1262 added a newline at the end of the response body from `jsonfiy`. It passed a tuple to the `Response`, which is more appropriate for streaming responses. Instead, use a simple `+ '\n'` and pass a string. This allows the content length header to be calculated while creating the response object (#1877).

ref pallets/werkzeug#1130",https://github.com/pallets/flask/pull/2577,davidism,MEMBER,closed,False,master,jsonify-str,2018-01-03 21:10:09+00:00,2020-11-14 03:36:20+00:00,2018-01-03 21:18:00+00:00,2018-01-03 21:18:00+00:00,True,0.1308333333333333,0.1308333333333333,1,1,2,1,1,28,335,54,[],0,[],0,1,0,0,0,0,0,1,0,0,False,False,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True
pallets/flask,2579,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-01-04 16:43:16+00:00,https://github.com/pallets/flask/pull/2579,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,implement session.new for the default session,"`new` is set when no session data is loaded (no cookie, expired / invalid cookie). This means a session is ""new"" until there is persisted data, which could mean multiple requests see a ""new"" session.",https://github.com/pallets/flask/pull/2579,davidism,MEMBER,closed,False,master,session-new,2018-01-04 16:43:16+00:00,2020-11-14 03:36:19+00:00,2018-01-04 20:42:15+00:00,,False,3.983055555555556,,58,28,86,3,1,45,199,35,"[""session""]",1,[],0,3,1,0,0,1,0,3,0,0,True,False,False,True,Closed without merge,2018-Q1,2018-01-01,2018-03-31,Closed without merge,True
pallets/flask,2582,Merged,2018-Q1,2018-01-01,2018-03-31,2018-01-06 09:24:12+00:00,https://github.com/pallets/flask/pull/2582,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,cleanup werkzeug import,Flask now requires werkzeug >= 0.9. There is no need to try import these werkzeug modules.,https://github.com/pallets/flask/pull/2582,lepture,CONTRIBUTOR,closed,False,master,clean-up,2018-01-06 09:24:12+00:00,2020-11-14 03:36:17+00:00,2018-01-06 09:49:02+00:00,2018-01-06 09:49:02+00:00,True,0.4138888888888888,0.4138888888888888,3,16,19,2,1,23,90,16,[],0,"[""davidism""]",1,2,0,0,0,0,0,2,0,0,False,False,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True
pallets/flask,2588,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-01-08 19:13:50+00:00,https://github.com/pallets/flask/pull/2588,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Remove the imported app module from sys.modules on SyntaxError,"When a SyntaxError occurrs in a package's `__init__.py` file, Python seems to leave an empty module in `sys.modules`. This will result in any request after the first to give you a `NoAppException` instead of the `SyntaxError` again.

I'm not 100% sure this doesn't have any side effects... It's an hack... So please review and tell me what you think about this. (Maybe more conditions for triggering this?)

Fixes #2423 

### Sample
In `hello/__init__.py`:
```python
from flask import Flask
app = Flask(__name__)

@app.route('/')
def hello_world():
    return 'Hello, World!'
```

```cmd
set FLASK_APP=hello
set FLASK_DEBUG=1
flask run
```

Than edit `__init__.py` and introduce a syntax error.

<!--
Commit checklist:

* add tests that fail without the patch
* ensure all tests pass with ``pytest``
* add documentation to the relevant docstrings or pages
* add ``versionadded`` or ``versionchanged`` directives to relevant docstrings
* add a changelog entry if this patch changes code

Tests, coverage, and docs will be run automatically when you submit the pull
request, but running them yourself can save time.
-->

  ",https://github.com/pallets/flask/pull/2588,segevfiner,NONE,closed,False,master,reloader-package-init-syntax-error-workaround,2018-01-08 19:13:50+00:00,2020-11-14 03:36:15+00:00,2018-01-09 16:28:52+00:00,,False,21.250555555555557,,15,0,15,3,2,62,1153,172,[],0,[],0,3,2,0,0,0,1,2,0,0,True,False,False,False,Closed without merge,2018-Q1,2018-01-01,2018-03-31,Closed without merge,True
pallets/flask,2592,Merged,2018-Q1,2018-01-01,2018-03-31,2018-01-10 21:57:34+00:00,https://github.com/pallets/flask/pull/2592,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,reset standard os env after each test,"Uses monkeypatch to unset env vars for the test session, and also reset them after each test in case they were changed without cleanup.

This doesn't affect Travis, but local tests will now pass if you happen to have a var set or a `.flaskenv` file.

closes #2589 ",https://github.com/pallets/flask/pull/2592,davidism,MEMBER,closed,False,master,tests-env,2018-01-10 21:57:34+00:00,2020-11-14 03:36:14+00:00,2018-01-10 22:02:00+00:00,2018-01-10 22:01:59+00:00,True,0.0738888888888888,0.0736111111111111,43,18,61,2,1,37,267,48,"[""testing""]",1,[],0,2,2,0,0,0,0,2,0,0,True,False,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True
pallets/flask,2600,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-01-17 08:31:36+00:00,https://github.com/pallets/flask/pull/2600,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,add models ,,https://github.com/pallets/flask/pull/2600,alaa-aqeel,NONE,closed,False,master,master,2018-01-17 08:31:36+00:00,2018-01-17 14:34:49+00:00,2018-01-17 08:33:26+00:00,,False,0.0305555555555555,,180,2,182,5,6,10,0,0,[],0,[],0,5,0,0,0,0,2,3,0,0,False,False,False,False,Closed without merge,2018-Q1,2018-01-01,2018-03-31,Closed without merge,True
pallets/flask,2603,Merged,2018-Q1,2018-01-01,2018-03-31,2018-01-22 03:10:48+00:00,https://github.com/pallets/flask/pull/2603,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Update cli help for FLASK_ENV,This PR replace FLASK_DEBUG with FLASK_ENV in command and change the cli help string.,https://github.com/pallets/flask/pull/2603,greyli,CONTRIBUTOR,closed,False,master,patch-8,2018-01-22 03:10:48+00:00,2020-11-14 03:36:12+00:00,2018-01-23 23:39:43+00:00,2018-01-23 23:39:43+00:00,True,44.48194444444445,44.48194444444445,3,3,6,1,1,29,85,14,[],0,[],0,1,0,0,0,0,0,1,0,0,False,False,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True
pallets/flask,2609,Merged,2018-Q1,2018-01-01,2018-03-31,2018-01-28 20:08:33+00:00,https://github.com/pallets/flask/pull/2609,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,allow nightly to fail on travis,"For some reason nightly just fails with ""invocation error"" on Travis. May be related to pytest-dev/pytest#3011.",https://github.com/pallets/flask/pull/2609,davidism,MEMBER,closed,False,master,nightly-travis,2018-01-28 20:08:33+00:00,2020-11-14 03:36:10+00:00,2018-01-28 22:16:34+00:00,2018-01-28 22:16:33+00:00,True,2.133611111111111,2.1333333333333333,3,0,3,1,1,31,111,16,"[""testing""]",1,[],0,1,0,0,1,0,0,1,0,0,False,False,True,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True
pallets/flask,2614,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-01-31 10:16:10+00:00,https://github.com/pallets/flask/pull/2614,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,2613 avoid code repetition,"This code change removes the code repetition to calculate the list length.

It finds the list length at the start of the code and assigns the length to a variable so that this variable can be used in the subsequent requirements.
",https://github.com/pallets/flask/pull/2614,VishvajitP,NONE,closed,False,master,2613-avoid-code-repetition,2018-01-31 10:16:10+00:00,2020-11-14 03:36:09+00:00,2018-01-31 10:17:41+00:00,,False,0.0252777777777777,,4,3,7,1,6,26,230,41,[],0,[],0,1,0,0,0,0,0,1,0,0,False,False,False,False,Closed without merge,2018-Q1,2018-01-01,2018-03-31,Closed without merge,True
